1	10	validated	58964481	curated	Tanuki 公开精选集
2	20	validated	77f75906	curated	Tanuki 公开精选集
3	15	validated	07e5ae26	curated	Tanuki 公开精选集
4	21	validated	00387001	curated	Tanuki 公开精选集
5	15	validated	7d0d8cf2	curated	Tanuki 公开精选集
6	21	validated	82d46f62	curated	Tanuki 公开精选集
7	15	validated	25e699b2	curated	Tanuki 公开精选集
8	24	validated	f7cb295d	curated	Tanuki 公开精选集
9	10	validated	f3e04b80	curated	Tanuki 公开精选集
10	24	validated	a3dffea6	curated	Tanuki 公开精选集
11	13	validated	ff299ea1	curated	Tanuki 公开精选集
12	18	validated	4b6bdeec	curated	Tanuki 公开精选集
13	20	validated	75b6ed9d	curated	Tanuki 公开精选集
14	23	validated	19f8ba78	curated	Tanuki 公开精选集
15	15	validated	1754e201	curated	Tanuki 公开精选集
16	21	validated	bfbe7b21	curated	Tanuki 公开精选集
17	26	validated	f729f6d9	curated	Tanuki 公开精选集
18	26	validated	9fe09597	curated	Tanuki 公开精选集
19	24	validated	b7be430d	curated	Tanuki 公开精选集
20	13	validated	0593601c	curated	Tanuki 公开精选集
21	24	validated	9335b64c	curated	Tanuki 公开精选集
22	24	validated	04a1da0a	curated	Tanuki 公开精选集
23	22	validated	208f1dfb	curated	Tanuki 公开精选集
24	18	validated	6d0bc9cf	curated	Tanuki 公开精选集
25	13	validated	47a6002c	curated	Tanuki 公开精选集
26	22	validated	f2a2cfb4	curated	Tanuki 公开精选集
27	18	validated	6ff3457d	curated	Tanuki 公开精选集
28	18	validated	9af207b7	curated	Tanuki 公开精选集
29	13	validated	c7aef998	curated	Tanuki 公开精选集
30	20	validated	afdac35a	curated	Tanuki 公开精选集
31	16	validated	686044ab	curated	Tanuki 公开精选集
32	20	validated	19174c5e	curated	Tanuki 公开精选集
33	16	validated	819e1fec	curated	Tanuki 公开精选集
34	16	validated	35fc46f0	curated	Tanuki 公开精选集
35	24	validated	5cab0592	curated	Tanuki 公开精选集
36	13	validated	e0ecd4d9	curated	Tanuki 公开精选集
37	26	validated	46e8e0f9	curated	Tanuki 公开精选集
38	11	validated	92cf5527	curated	Tanuki 公开精选集
39	19	validated	f2b4c541	curated	Tanuki 公开精选集
40	19	validated	35e5a542	curated	Tanuki 公开精选集
41	19	validated	c4798184	curated	Tanuki 公开精选集
42	15	validated	d0be3383	curated	Tanuki 公开精选集
43	15	validated	e0622313	curated	Tanuki 公开精选集
44	15	validated	cde2a963	curated	Tanuki 公开精选集
45	15	validated	04f1af95	curated	Tanuki 公开精选集
46	15	validated	1500fba5	curated	Tanuki 公开精选集
47	18	validated	e34f555a	curated	Tanuki 公开精选集
48	22	validated	a74f8951	curated	Tanuki 公开精选集
49	22	validated	1cbfb9d0	curated	Tanuki 公开精选集
50	22	validated	2e3283cf	curated	Tanuki 公开精选集
51	15	validated	bc246c70	curated	Tanuki 公开精选集
52	20	validated	f9588e74	curated	Tanuki 公开精选集
53	15	validated	7e330f30	curated	Tanuki 公开精选集
54	16	validated	501021d9	curated	Tanuki 公开精选集
55	19	validated	cfe1d1fd	curated	Tanuki 公开精选集
56	18	validated	5c62792c	curated	Tanuki 公开精选集
57	18	validated	0ab11acd	curated	Tanuki 公开精选集
58	13	validated	8955639b	curated	Tanuki 公开精选集
59	14	validated	0118c73a	curated	Tanuki 公开精选集
60	14	validated	b9def8fb	curated	Tanuki 公开精选集
61	13	validated	19b2be41	curated	Tanuki 公开精选集
62	24	validated	dbae085d	curated	Tanuki 公开精选集
63	20	validated	434bf4c3	curated	Tanuki 公开精选集
64	17	validated	6fc17e16	curated	Tanuki 公开精选集
65	20	validated	d90d1506	curated	Tanuki 公开精选集
66	21	validated	deb0a397	curated	Tanuki 公开精选集
67	20	validated	a7f67b04	curated	Tanuki 公开精选集
68	20	validated	fd00a6f1	curated	Tanuki 公开精选集
69	24	validated	74de99bf	curated	Tanuki 公开精选集
70	20	validated	163e8232	curated	Tanuki 公开精选集
71	19	validated	be8e1235	curated	Tanuki 公开精选集
72	18	validated	24f91198	curated	Tanuki 公开精选集
73	17	validated	21d170ee	curated	Tanuki 公开精选集
74	17	validated	83470909	curated	Tanuki 公开精选集
75	21	validated	5b425534	curated	Tanuki 公开精选集
76	20	validated	12da1772	curated	Tanuki 公开精选集
77	18	validated	b58c024e	curated	Tanuki 公开精选集
78	22	validated	5f62ee55	curated	Tanuki 公开精选集
79	18	validated	8e144088	curated	Tanuki 公开精选集
80	37	validated	3b64a20b	curated	Tanuki 公开精选集
